sample	pltFamily	pltGenus	plant	Order	Family	Genus	Species	Sex	jdate	caldate	tsect	meter
49	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	188	2012-07-07	1	39
50	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		188	2012-07-07	1	39
51	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera			 		188	2012-07-07	1	39
52	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		188	2012-07-07	2	74
53	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera			 		188	2012-07-07	2	74
54	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	188	2012-07-07	2	74
55	Saxifragaceae	Saxifraga	Saxifraga nivalis	Hemiptera	Hemiptera fam.	Hemiptera gen.	Hemiptera sp.1		188	2012-07-07	2	74
56..1	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Muscidae	Phaonia	Phaonia protuberans	f	188	2012-07-07	3	33
56..2	Ericaceae	Vaccinium	Vaccinium caespitosum	Diptera	Muscidae	Phaonia	Phaonia protuberans	f	188	2012-07-07	3	33
57	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		188	2012-07-07	3	33
58	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		188	2012-07-07	3	33
59	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Syrphidae	Cheilosia	Cheilosia seripila	m	188	2012-07-07	3	33
60	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	188	2012-07-07	3	33
61	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		189	2012-07-08	1	33
63	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		189	2012-07-08	1	33
64..1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae		 		189	2012-07-08	1	33
64..2	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Muscidae		 		189	2012-07-08	1	33
65	Portulacaceae	Claytonia	Claytonia lanceolata	Coleoptera	Coccinellidae	Coccinellidae genus 1	Coccinellidae sp.1		189	2012-07-08	1	33
66	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera			 		189	2012-07-08	1	33
67	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera			 		189	2012-07-08	1	33
68	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Apidae	Bombus	Bombus melanopygus	f	189	2012-07-08	2	64
69	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Syrphidae		 		189	2012-07-08	2	64
70	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Muscidae	Phaonia	Phaonia protuberans	f	189	2012-07-08	2	64
71	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus sp.1	f	189	2012-07-08	3	42
72	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia signatiseta	f	189	2012-07-08	3	42
73	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eustalomyia	Eustalomyia sp.2		189	2012-07-08	3	42
74	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	f	189	2012-07-08	3	42
75	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	189	2012-07-08	3	42
76	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	m	189	2012-07-08	3	42
77	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	189	2012-07-08	3	42
78	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	189	2012-07-08	3	42
79	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	189	2012-07-08	3	42
80	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		190	2012-07-09	1	24
82	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Muscidae	Phaonia	Phaonia monticola	f	190	2012-07-09	1	24
83	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		190	2012-07-09	1	24
84	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	190	2012-07-09	2	1
85	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Delia	Delia sp.1	f	190	2012-07-09	2	1
86	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	190	2012-07-09	2	1
87	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	190	2012-07-09	2	1
88	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	m	193	2012-07-12	1	44
89	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	193	2012-07-12	1	44
90	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae		 		193	2012-07-12	1	44
91	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	m	193	2012-07-12	1	44
92	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	193	2012-07-12	1	44
93	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	193	2012-07-12	1	44
94	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	193	2012-07-12	1	44
95	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	193	2012-07-12	1	44
96	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	193	2012-07-12	1	44
97	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	193	2012-07-12	1	44
98	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	193	2012-07-12	1	44
99	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	193	2012-07-12	1	44
100	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		193	2012-07-12	1	44
101	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	193	2012-07-12	1	44
102	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	193	2012-07-12	1	44
103	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	193	2012-07-12	1	44
104	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		193	2012-07-12	1	44
105	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	193	2012-07-12	1	44
106	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		193	2012-07-12	1	44
107	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		193	2012-07-12	2	14
108	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	193	2012-07-12	2	14
109	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Potamia	Potamia sp.2	f	193	2012-07-12	2	14
110	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Anthomyiidae	Hydrophoria	Hydrophoria sp.1	m	195	2012-07-14	1	37
111	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	195	2012-07-14	1	37
113	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	195	2012-07-14	1	37
114	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia sp.4	f	195	2012-07-14	1	37
115	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Eustalomyia	Eustalomyia sp.1	m	195	2012-07-14	1	37
116	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	195	2012-07-14	1	37
117	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	195	2012-07-14	1	37
118	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		195	2012-07-14	1	37
119	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		195	2012-07-14	1	37
120	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia spp.	f	195	2012-07-14	1	37
121	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	195	2012-07-14	1	37
122	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	195	2012-07-14	1	37
123	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia spp.	f	195	2012-07-14	1	37
124	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	195	2012-07-14	1	37
125	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	195	2012-07-14	1	37
126	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae		 		195	2012-07-14	1	37
127	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		195	2012-07-14	1	37
128	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		195	2012-07-14	2	4
129	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		195	2012-07-14	2	4
130	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	195	2012-07-14	2	4
131	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Adia	Adia spp.	f	195	2012-07-14	2	4
132	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	195	2012-07-14	2	4
133	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	195	2012-07-14	2	4
134	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		195	2012-07-14	2	4
137	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		195	2012-07-14	2	4
138	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	195	2012-07-14	2	4
139	Saxifragaceae	Saxifraga	Saxifraga nivalis	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		195	2012-07-14	2	4
140	Saxifragaceae	Saxifraga	Saxifraga nivalis	Hymenoptera	Hymenoptera fam.		 		195	2012-07-14	2	4
142	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		195	2012-07-14	3	81
143	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		195	2012-07-14	3	81
144	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Anthomyiidae	Hydrophoria	Hydrophoria sp.1	m	195	2012-07-14	3	81
145	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	195	2012-07-14	3	81
146	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	195	2012-07-14	3	81
147	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	195	2012-07-14	3	81
151	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	195	2012-07-14	3	81
152	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	195	2012-07-14	3	81
154	Valerinaceae	Valeriana	Valeriana sitchensis	Coleoptera	Carabidae	Carabidae gen.1	Carabidae sp.1		195	2012-07-14	3	81
155	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	196	2012-07-15	1	5
156	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Hydrophoria	Hydrophoria sp.1	m	196	2012-07-15	1	5
157	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	m	196	2012-07-15	1	5
158	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Thricops	Thricops inocuus	m	196	2012-07-15	1	5
159	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Adia	Adia spp.	m	196	2012-07-15	1	5
160	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	196	2012-07-15	1	5
161	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Spilogona	Spilogona spp.	m	196	2012-07-15	2	54
162	Scrophulariaceae	Castilleja	Castilleja rhexifolia	Hymenoptera	Apidae	Bombus	Bombus balteatus	queen	196	2012-07-15	2	54
163	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Adia	Adia spp.	m	196	2012-07-15	2	54
164	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Paregle/Adia	Adia sp.2	m	196	2012-07-15	2	54
165	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Hiatomyia	Hiatomyia plutonia	f	196	2012-07-15	2	54
168	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Botanophila	Botanophila sp.3	f	196	2012-07-15	2	54
169..1	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Cheilosia	Cheilosia bigelowi	f	196	2012-07-15	2	54
169..2	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Cheilosia	Cheilosia bigelowi	f	196	2012-07-15	2	54
170	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Muscidae	Thricops	Thricops inocuus	m	196	2012-07-15	2	54
171	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	196	2012-07-15	2	54
172	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia coriacea	f	196	2012-07-15	2	54
174	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Platycheirus	Platycheirus spp.	f	196	2012-07-15	3	91
175	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	196	2012-07-15	3	91
176	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	196	2012-07-15	3	91
177	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.1	m	196	2012-07-15	3	91
178	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		196	2012-07-15	3	91
179	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	196	2012-07-15	3	91
180	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		196	2012-07-15	3	91
181	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	196	2012-07-15	3	91
182	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	196	2012-07-15	3	91
183	Valerinaceae	Valeriana	Valeriana sitchensis	Coleoptera	Carabidae	Carabidae gen.1	Carabidae sp.1		196	2012-07-15	3	91
184	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	196	2012-07-15	3	91
185	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae		 		196	2012-07-15	3	91
186	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	196	2012-07-15	3	91
187	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops spiniger	m	196	2012-07-15	3	91
188	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	197	2012-07-16	1	6
189	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		197	2012-07-16	1	6
190	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Hymenoptera fam.		 		197	2012-07-16	1	6
191	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops villicrus	m	197	2012-07-16	1	6
192	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	197	2012-07-16	1	6
193	Brassicaceae	Smelowskia	Smelowskia calycina	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		197	2012-07-16	1	6
194	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Anthomyiidae	Anthomyiidae sp.1	f	197	2012-07-16	1	6
195	Brassicaceae	Smelowskia	Smelowskia calycina	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		197	2012-07-16	1	6
196	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Thricops	Thricops inocuus	m	197	2012-07-16	1	6
197	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	197	2012-07-16	2	62
198	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	197	2012-07-16	2	62
199	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia atrocitrea	f	197	2012-07-16	2	62
200	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Phaonia	Phaonia monticola	f	197	2012-07-16	2	62
201	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		197	2012-07-16	2	62
202	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	197	2012-07-16	2	62
203..1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Syrphidae	Cheilosia	Cheilosia nigrofasciata	m	197	2012-07-16	2	62
203..2	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Cheilosia	Cheilosia nigrofasciata		197	2012-07-16	2	62
204	Ranunculaceae	Anemone	Anemone drummondii	Diptera	Muscidae	Drymeia	Drymeia spp.	f	197	2012-07-16	2	62
205	Saxifragaceae	Saxifraga	Saxifraga nivalis	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		197	2012-07-16	2	62
206	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	197	2012-07-16	2	62
207	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Hiatomyia	Hiatomyia spp.m	m	197	2012-07-16	2	62
208	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Phaonia	Phaonia sp.1		197	2012-07-16	2	62
209	Polemoniaceae	Polemonium	Polemonium pulcherrimum	Diptera	Muscidae	Thricops	Thricops villicrus	m	197	2012-07-16	2	62
210	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	197	2012-07-16	2	62
212	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia spp.	m	197	2012-07-16	2	62
213	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	197	2012-07-16	2	62
214	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	197	2012-07-16	3	40
215	Scrophulariaceae	Castilleja	Castilleja rhexifolia	Hymenoptera	Apidae	Bombus	Bombus mixtus	queen	197	2012-07-16	3	40
216	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		197	2012-07-16	3	40
217	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Botanophila	Botanophila sp.3	m	197	2012-07-16	3	40
218	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Noctuiidae	Drasteria	Drasteria petricola		197	2012-07-16	3	40
219	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	197	2012-07-16	3	40
220	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	f	197	2012-07-16	3	40
221	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops inocuus	m	197	2012-07-16	3	40
222	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		197	2012-07-16	3	40
223	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Botanophila	Botanophila sp.3	f	197	2012-07-16	3	40
